fig;cod;group;dpto;mcpio;kw;users;type;storage;conection;rev_e1;name_e1;date_e1;result_e1;observation_e1;rev_e2;name_e2;date_e2;result_e2;observation_e2;rev_c1;name_c1;date_c1;result_c1;observation_c1;rev_c2;name_c2;date_c2;result_c2;observation_c2;rev_f1;name_f1;date_f1;result_f1;observation_f1;rev_f2;name_f2;date_f2;result_f2;observation_f2;comments
El resguardo Indígena NASA KIWE TEKH KSXAW;C0319698-GE-00309;Indígena;Cauca;Santander de Quilichao;;;;;SIN;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Resguardo Indigena Purace ;C0319585-GE-00472;Indígena;Cauca;Purace;;;;;SIN;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Asociación de Pequeños Ganaderos Tierra Grata - ASOPEGAN;C0320443-CO-00294;AETCR;Cesar;Manaure;;;;;ZNI;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Confederación Indígena Tayrona;C0320001-GE-00493;Indígena;Cesar;Valledupar;;;;;SIN;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Comunidad energética consejo comunitario mayor de Istmina y parte del medio San Juan COCOMINSA y Techos Rentables y Negavatios TRN;C0327361-PE-00507;Afrodescendiente;Choco;Istmina;;;;;ZNI;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Junta de Acción comunal Sapzurro;C0327006-CO-00138;Sociedad civil organizada;Choco;Acandí;;;;;ZNI;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Fundación Nuevo Amanecer de Colombia;C0327600-PE-00119;Afrodescendiente;Choco;Rio Quito;;;;;SIN;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Asociación de productores de beberá - ASOPROBEBARÁ;C0327425-CO-00361;Afrodescendiente;Choco;Medio Atrato;;;;;ZNI;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Resguardo indígena Woonaan Buenavista;C0327250-GE-00166;Indígena;Choco;El Litoral del San Juan;;;;;ZNI;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Asociación de Autoridades indígenas Wounaan del Pacífico -CAMAWA;C0327250-GE-00475;Indígena;Choco;El Litoral del San Juan;;;;;ZNI;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Junta de Acción comunal Pie de Pepé;C0327430-CO-00191;Afrodescendiente;Choco;Medio Baudó;;;;;SIN;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
ASOMUCAFE;C0327450-CO-00455;Afrodescendiente;Choco;Medio San Juan;;;;;SIN;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Junta de Acción Comunal de la vereda Francia Elena;C0323466-CO-00464;Campesinos;Córdoba;Montelíbano;;;;;ZNI;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
JAC Vereda La Floresta / José David Seidel Pachón;C0341885-PE-00513;Campesinos;Huila;Yaguara;;;;;SIN;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
La Junta de Acción Comunal de la vereda Río Cañas – Playa, corregimiento de El Mingueo.;C0344090-CO-00453;Sociedad civil organizada;La Guajira;Dibulla;;;;;SIN;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Asociación agroecológica y comercial de La Guajira Anouta-Akiapia;C0344001-CO-00510;Sociedad civil organizada;La Guajira;Riohacha;;;;;SIN;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Federación de acción comunal del departamento la guajira;C0344001-CO-00489;Sociedad civil organizada;La Guajira;Riohacha;;;;;SIN;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Energía de la alta S.A.S E.S.P;C0344847-PE-00499;Indígena;La Guajira;Uribia;;;;;ZNI;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Asociación de autoridades tradicionales Wayúu Anainjak Wakuaipa;C0344430-CO-00384;Indígena;La Guajira;Maicao;;;;;ZNI;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Cooperativa Multiactiva para la Paz de Colombia - COOMPAZCOL;C0344279-CO-00448;AETCR;La Guajira;Fonseca;;;;;SIN;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Asociación de juntas de acción comunal del municipio de Puerto Lleras (ASOJUNTAS puerto lleras);C0350577-CO-00263;Sociedad civil organizada;Meta;Puerto Lleras;;;;;ZNI;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Grampaz;C0350006-CO-00393;AETCR;Meta;Acacias;;;;;SIN;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Empresa Prestadora de Servicios Públicos de Energías, Gas y Telecomunicaciones S.A.S E.S.P;C0350325-PE-00345;Víctimas;Meta;Mapiripán;;;;;ZNI;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Cooperativa multiactiva agropecuaria paz y desarrollo de Vistahermosa COORPOAGROMETA;C0350683-CO-00479;AETCR;Meta;San Juan de Arama;;;;;ZNI;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Concejo Comunitario Prodefensa del Río Tapaje;C0352250-GE-00421;Afrodescendiente;Nariño;El Charco;;;;;ZNI;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
JAC Antonio Nariño / José David Seidel Pachón ;C0352835-PE-00509;Afrodescendiente;Nariño;San Andrés de Tumaco;;;;;SIN;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
JAC Llorente / José David Seidel Pachón ;C0352835-PE-00424;Sociedad civil organizada;Nariño;San Andrés de Tumaco;;;;;SIN;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
JAC Bellavista / Jose David Seidel Pachon ;C0352835-PE-00516;Afrodescendiente;Nariño;San Andrés de Tumaco;;;;;SIN;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
JAC Candelillas / Jose David Seidel Pachon ;C0352835-PE-00419;Afrodescendiente;Nariño;San Andrés de Tumaco;;;;;SIN;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
JAC KM 35 /José David Seidel ;C0352835-PE-00431;Sociedad civil organizada;Nariño;San Andrés de Tumaco;;;;;SIN;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Comunidad energética cabildo de resguardo indígena Dachi Drua Mundi y techos rentables y Negavatios TRN;C0376041-PE-00229;Indígena;Valle del Cauca;Ansermanuevo;;;;;SIN;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Resguardo indígena Wounaan, Santa Rosa Guayacán Rio Calima;C0376109-GE-00406;Indígena;Valle del Cauca;Buenaventura;;;;;ZNI;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Resguardo indigena Wounaan Puerto Pizario (Saul Chamarra Quintero);C0376109-GE-00517;Indígena;Valle del Cauca;Buenaventura;;;;;ZNI;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Consejo Comunitario Rio Raposo (Zacarias Vente Alvarez);C0376109-PE-00486;Afrodescendiente;Valle del Cauca;Buenaventura;;;;;ZNI;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
